name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money,,,,,
椎体爆裂骨折,"垂直压缩性骨折,椎体破裂性骨折",脊柱 关节,所有人群,无传染性,非医保疾病,骨科 急诊科,脊椎平片 磁共振平扫 [详细],脊髓受压 压缩型骨折 上肢无力 上肢麻木 颈椎痛 [详细],瘫痪 [详细],手术治疗 [详细],伤科接骨片 云南白药胶囊 骨康胶囊 [详细],1--3个月,60--80%,,,,,,
小儿肾小管性酸中毒,"小儿肾脏钙质沉着症,小儿先天性高氯性酸中毒,婴儿钙质沉着症",全身,多见于男孩,无传染性,非医保疾病,肾内科 儿科,血液电解质 尿常规 氯化铵负荷试验 肾小球功能试验 肾脏超音波 [详细],乏力 多尿 肾区钝痛 肾钙化 恶心 [详细],脱水 低钠血症 肾结石 [详细],药物治疗 [详细],赖氨酸磷酸氢钙... 复方碳酸氢钠片 氨丁三醇注射液 [详细],3-7天,60%,,,,,,
肠梨形鞭毛虫病,贾第虫病，蓝氏贾第鞭毛虫病,肠,儿童,有传染性,非医保疾病,传染科 消化内科,粪便寄生虫 粪便气味 便常规 [详细],肚子疼 腹胀 恶臭便 消瘦 水样便 [详细],慢性阑尾炎 [详细],药物治疗 [详细],甲硝唑片 甲硝唑片 呋喃唑酮片 [详细],,100%,市三甲医院约（3000 —— 8000元）;,,,,,
外阴血管外皮细胞瘤,外阴周皮瘤,外阴,女性,无传染性,非医保疾病,妇科,肿瘤筛查 生殖系统肿瘤检查项目 外阴部妇科常规检查 肿瘤标志物 遗传筛查 [详细],外阴肿胀 耻区肿块 排尿时外阴灼热、瘙痒或疼痛 无痛性阴囊内肿块 尿道的条索状肿块 [详细],血管瘤 [详细],手术治疗、中医药物治疗、西医药物治疗 [详细],芪珍胶囊 西黄丸 妇宝颗粒 [详细],8-12周,外科手术治愈率约为60-70%,,,,,,
进行性多灶性白质脑病,,颅脑,细胞免疫反应缺陷的患者,无传染性,非医保疾病,脑外科,脑脊液检查-化学检查-蛋白质检查 CT MRI [详细],头痛 恶心与呕吐 发作性眩晕 易激惹 皮肤苍白 [详细],帕金森病性痴呆 脑萎缩 脑出血 小儿脑瘫 癫痫 [详细],,偏瘫复原丸 七十味珍珠丸 化风丹 [详细],,暂无相关资料,,,,,,
陶瓷样胆囊,"瓷胆囊,瓷瓶样胆囊,瓷样胆囊,钙化性胆囊,陶瓷样胆囊病",胆,50～60岁女性,无传染性,非医保疾病,肝胆外科,腹部平片 腹部CT 腹部透视 腹部MRI 胆囊B超 [详细],胆绞痛 钙沉积 钙化 嗳气 胃肠气胀 [详细],暂无相关资料,药物治疗、手术治疗 [详细],二十五味松石丸 盐酸左氧氟沙星... [详细],1-2个月,50%,市三甲医院约（3000 —— 8000元）,,,,,
气瘿,“大脖子”病,甲状腺,"本病多流行于缺碘的高原山区，如云贵高原及陕西、山西、宁夏等地,青春期女性",无传染性,非医保疾病,中医科,暂无相关资料,胀感 颈部粗 呼吸困难 皮下结节 [详细],颅咽管瘤 发作性睡病 亚临床甲状腺功能亢进 甲状腺功能亢进性心肌病 结节性甲状腺肿 [详细],暂无相关资料,>> 应该如何用药？用什么药？ [详细],,暂无相关资料,暂无相关资料,,,,,
眼部神经纤维瘤病,"眼部Recklinghausen病,眼部von Recklinghausen病,眼部von Recklinghausen综合征,眼部多发性神经纤维瘤病,眼部雷克林霍曾病,眼部雷克林霍曾氏病",眼,发病年龄可在出生时儿童后期或成人，男多于女，约为女性的两倍,无传染性,非医保疾病,眼科 肿瘤科,眼及眶区CT 眼压 眼球和眼眶的超声检查 [详细],咖啡斑 色素异常 视力障碍 [详细],眼眶神经鞘瘤 脑膜瘤 [详细],药物治疗、手术治疗 [详细],羧甲基纤维素钠... 右旋糖酐70滴眼... 复方尿维氨滴眼... [详细],7-14天,100%能够有效治愈,,,,,,
小儿指甲-髌骨综合征,,上肢骨 其他骨,儿童、少年期,无传染性,非医保疾病,儿科 骨科,尿酸碱度 [详细],指甲营养障碍 尖头并指 关节畸形 蛋白尿 水肿 [详细],高血压 骨关节炎 [详细],,金匮肾气片 济生肾气丸 强肾片 [详细],,暂无相关资料,,,,,,
密码综合症,,心理,成人,无传染性,非医保疾病,心理咨询,,头痛 眼花 神经衰弱综合征 焦虑 [详细],,,应该如何用药？用什么药？ [详细],,暂无相关资料,,,,,,
无功能性甲状旁腺囊肿,无机能性甲状旁腺囊肿,甲状腺,好发于青中年，以女性多发,无传染性,非医保疾病,内分泌科,血清钙 甲状腺B超 [详细],甲状腺扪及光滑坚实的椭圆形结节 囊肿 [详细],肿胀 [详细],穿刺抽液法、甲状旁腺囊肿切除术 [详细],左甲状腺素钠片 [详细],7-21天,30%,,,,,,
侵袭性指趾乳头状腺癌,"侵袭性指趾乳头腺癌,侵袭性指趾息肉状腺癌",手部 足部,大多发生于50岁左右的患者,无传染性,非医保疾病,肿瘤科 皮肤科,积液癌胚抗原 免疫病理检查 [详细],足趾伸屈时足部疼痛 手指香肠型 指甲呈筒形 趾短小 结节 [详细],肺转移瘤 [详细],手术治疗 [详细],注射用氨磷汀 强力康颗粒 [详细],1-2个月,10%,,,,,,
感染性疾病所致贫血,感染性疾病所致贫血症,血液血管,所有人群,无传染性,非医保疾病,血液科,血清铁 红细胞血清总胆红素 巨噬细胞或白细胞移动抑制试验 [详细],面色苍白 蛋白尿 肝脾肿大 寒战 纳差 [详细],心脏病 [详细],药物治疗、病因治疗 [详细],养血当归糖浆 养血当归糖浆 枣参合剂 [详细],21天,96%,市三甲医院约1000--3000,,,,,
弥漫性空回肠溃疡,"慢性肉芽肿性空回肠炎,慢性特发性溃疡性小肠炎",肠,老年人群,无传染性,非医保疾病,消化内科,口服法小肠造影 小肠镜 [详细],肠穿孔 肚子疼 溃疡外观呈菜花样 肠粘膜有坏死溃疡 溃疡 [详细],肠梗阻 [详细],药物治疗、手术治疗 [详细],盐酸左氧氟沙星... 复方谷氨酰胺肠... 盐酸米诺环素胶... [详细],1-3个月,75%(外科手术治疗),市三甲医院约5000--12000,,,,,
虹膜角膜内皮综合征,虹膜角膜内皮综合症,眼,儿童和中年妇女，男与女之比为1∶2～1∶5,无传染性,非医保疾病,眼科,前房角镜检查法 [详细],角膜水肿 头痛 眼痛 虹膜表面形成灰白色肿瘤结节 角膜大小不等的透明水泡 [详细],大泡性角膜病变 [详细],手术治疗、药物治疗 [详细],乳酸左氧氟沙星... 氧氟沙星滴眼液 [详细],2-4周,85%,市三甲医院约3000--8000,,,,,
脂蛋白肾小球病,,肾 血液血管,所有人群,无传染性,非医保疾病,肾内科 内分泌科,血液生化六项 血清载脂蛋白 血清脂蛋白a 血浆渗量 [详细],高度膨胀的毛细血管襻 肾小球体积增大 蛋白尿 肾小球有病理形态改变 高血脂性血管损害 [详细],高脂血症 [详细],对症治疗、药物治疗 [详细],普罗布考 肾复康胶囊 肾炎舒片 [详细],30天,10%,,,,,,
小儿药物性皮炎,"小儿药物皮炎,小儿药物疹,小儿药疹",皮肤 其他,儿童,无传染性,非医保疾病,皮肤科 儿科,皮内试验 被动转移试验 [详细],鳞屑 猩红热样皮疹 低烧 风团 痤疮样皮疹 [详细],败血症 红皮病 过敏性休克 [详细],药物治疗 支持性治疗 [详细],小儿盐酸异丙嗪... 醋酸氟轻松乳膏 [详细],7-30天,80%,,,,,,
小儿葡萄糖-6-磷酸脱氢酶缺乏症,小儿6-磷酸葡萄糖脱氢酶缺乏症,血液血管,小儿，男性,无传染性,非医保疾病,儿科 血液科,葡萄糖-6-磷酸脱氢酶缺乏症筛查 葡萄糖6-磷酸脱氢酶荧光斑点试验 红细胞葡萄糖-6-磷酸脱氢酶活性 [详细],蛋白尿 谵妄 肚子疼 恶心 抽搐 [详细],贫血 [详细],,新血宝胶囊 养血当归糖浆 健脾生血颗粒 [详细],,暂无相关资料,,,,,,
其他类精神活性物质依赖,,全身 心理,服用阿片类人群,无传染性,非医保疾病,成瘾医学科 心理咨询,暂无相关资料,打哈欠 性欲减退 焦虑 流鼻涕 脉搏加速 [详细],暂无相关资料,中医药物治疗、西医药物治疗 [详细],>> 应该如何用药？用什么药？ [详细],3个月,40%,市三甲医院约（10000 —— 20000元）,,,,,
小儿窦性心动过缓,,心脏,婴幼儿,无传染性,非医保疾病,儿科 心血管内科,直立倾斜试验 心电图 多普勒超声心动图 激发试验 [详细],胸闷 心动过缓 头昏 抽搐 精神萎靡 [详细],心源性休克 [详细],药物治疗 [详细],宁心宝胶囊 宁心宝胶囊 宁心宝胶囊 [详细],1-3月,95%,,,,,,
上皮样囊肿,表皮样囊肿、胆脂瘤、珍珠瘤,眼,均可发病,无传染性,非医保疾病,神经内科 外科,MRI 颅脑CT 颅脑MRI 颅脑超声检查 眼球和眼眶的超声检查 [详细],皮下囊肿 脑脊液鼻漏 囊肿 [详细],脑膜炎 脑脊液漏 [详细],手术治疗 [详细],蛇胆陈皮胶囊 上清胶囊 八味秦皮胶囊 [详细],2-4周,98%,,,,,,
颌面部骨肉瘤,颌面部恶性肿瘤,口,青少年，男性较女性多见,无传染性,医保疾病,口腔科 肿瘤科,颌面部检查 骨显像 [详细],疼痛 剧痛 膝关节疼痛 剧烈疼痛 颌突畸形 [详细],骨折 [详细],,转移因子口服溶... 复方环磷酰胺片 依托泊苷软胶囊 [详细],,暂无相关资料,,,,,,
小儿红白血病,"儿童真性红细胞增多症,小儿Di Guglielmo综合征,小儿红细胞增多症,小儿红血球增多,小儿红血性骨髓增生症,小儿急非淋白血病,小儿急性红细胞骨髓病,小儿儿童真性红细胞增多症",骨髓,儿童人群,无传染性,非医保疾病,儿科,酶学检查 血栓与止血检测 粒红比例 胶体铁染色 染色体 [详细],反复高热 持续性弛张热 腋下淋巴肿大 发烧 红细胞增多-高粘滞度 [详细],暂无相关资料,药物治疗、中药治疗 [详细],乌苯美司胶囊 [详细],需要终身治疗,需要终身治疗，目前不能治愈,市三甲医院约10000--60000,,,,,
先天性肿瘤,,全身,可发生于任何年龄，多见于青年和儿童，5～20岁者占一半以上，绝大多数在40岁以下。,无传染性,非医保疾病,脑外科 肿瘤科,内分泌检查 雌激素 促黄体生成素 头颅平片 颅脑CT [详细],神经痛 头痛 头晕 巨痣症 三叉神经一二支分布区域疼痛 [详细],癫痫 [详细],药物治疗 [详细],葡萄糖氯化钠注... 葡萄糖氯化钠注... 氯化钠注射液 [详细],周期较长,一般在正规综合三甲医院的典型病例治愈率（,,,,,,
绝经与阿尔茨海默病综合征,绝经与阿尔茨海默病综合症,卵巢 颅脑,50岁以上中老年人,无传染性,非医保疾病,神经内科 老年科,脑电图 CT [详细],记忆力障碍 智力减低 定向力障碍 感觉障碍 幻觉 [详细],痴呆 [详细],药物治疗 [详细],重酒石酸卡巴拉... 吡贝地尔缓释片 [详细],1-6个月,10%,,,,,,
散发性脑炎伴发的精神障碍,病毒性脑炎伴发的精神障碍,颅脑 心理,所有人群,无传染性,非医保疾病,神经内科 精神病科,脑电图 颅脑MRI 颅脑超声检查 颅脑CT 脑电图弥漫性慢波 [详细],头痛 恶心与呕吐 意识模糊 意识改变状态 意识朦胧状态 [详细],暂无相关资料,药物治疗 [详细],盐酸氯丙嗪片 富马酸喹硫平片 安宫牛黄丸 [详细],3-6个月,55%-65%,市三甲医院约10000--50000,,,,,
小儿视网膜母细胞瘤,"小儿成视网膜细胞瘤,小儿视网膜成神经细胞瘤,小儿视网膜恶性胶质瘤",眼,婴幼儿，3岁以下儿童,无传染性,非医保疾病,眼科 肿瘤科,,视力障碍 瞳孔出现黄白色反光 中心暗点扩大 视网膜Roth斑 假性前房积脓 [详细],,病因治疗、对症治疗 [详细],应该如何用药？用什么药？ [详细],2-3年,20%,,,,,,
血色病性心肌病,"血色病性心肌症,血色素沉着性心肌病,血色素沉着症性心肌病",心脏,多发于男性,无传染性,非医保疾病,心血管内科 心胸外科,心脏血管超声检查 血清铁 血清转铁蛋白 心电图 动态心电图 [详细],呼吸困难 心悸 头晕 疲乏 活动后气促 [详细],心内膜炎 心内膜弹性纤维增生症 [详细],,硝苯地平缓释片 硝苯地平缓释片 苯磺酸左旋氨氯... [详细],,暂无相关资料,,,,,,
肺组织细胞增生症,"肺组织细胞增多病,肺组织细胞增多症,朗格汉斯组织细胞增生症",肺,所有人群,无传染性,非医保疾病,呼吸内科,胸部CT 纤维支气管镜 胸透 肺功能 嗜酸性粒细胞数 [详细],干咳 呼吸困难 体重减轻 乏力 发烧 [详细],暂无相关资料,手术治疗 [详细],>> 应该如何用药？用什么药？ [详细],1--3周,30%,市三甲医院约2000-4000元,,,,,
原发性肝脂肪肉瘤,原发性肝脂肉瘤,肝,所有人群,无传染性,非医保疾病,肝胆外科 肿瘤科,肝功能 酶学检查 血清癌胚抗原 肿瘤标志物 MRI [详细],消瘦 右上腹痛 放射性疼痛 食欲减退 乏力 [详细],,化疗、放疗、药物治疗 [详细],硫唑嘌呤片 脂肪乳注射液(C... [详细],3个月,30%,,,,,,
小儿多囊肾,儿童多囊肾,肾,小儿,无传染性,非医保疾病,儿科 肾内科,肾脏B超 肾脏MRI 肾脏CT 尿常规 肾功能 [详细],慢性肾功能不全 背痛 门脉高压 血压高 腰部包块 [详细],高血压 贫血 [详细],,抑肽酶 硫酸鱼精蛋白 硫酸鱼精蛋白 [详细],,暂无相关资料,,,,,,
反射性躯体神经病,"反射性交感神经性营养不良,躯体神经病",脊髓,所有人群,无传染性,非医保疾病,神经内科,头颅平片 MRI [详细],感觉障碍 肌肉萎缩 咽反射亢进 肢体肿胀 躯体主诉增多 [详细],失眠症 [详细],病因治疗、对症治疗 [详细],盐酸普萘洛尔片 盐酸普萘洛尔片 [详细],1-3年,30%,市三甲医院约（1000-5000元）,,,,,
阴道血管肉瘤,,阴道,中老年妇女,无传染性,非医保疾病,妇科 肿瘤科,阴道镜 阴道窥器检查 阴道触诊 肿瘤标志物 白带常规 [详细],阴道出血 溃疡 排尿不畅 [详细],阴道炎 [详细],手术治疗、化疗 [详细],复方环磷酰胺片 转移因子口服溶... 依托泊苷软胶囊 [详细],1-3月,20--30%,,,,,,
高分化鳞癌,,全身 肺,所有人群,无传染性,非医保疾病,肿瘤科,,溃疡外观呈菜花样 [详细],,,应该如何用药？用什么药？ [详细],,暂无相关资料,,,,,,
结胸证,,胸部,成年人,无传染性,非医保疾病,中医科,,大便溏泄 脉浮紧 [详细],胸主动脉瘤 颅咽管瘤 发作性睡病 恶性间皮瘤 脑血管瘤 [详细],中医药物治疗、西医药物治疗 [详细],应该如何用药？用什么药？ [详细],1个月,99%,,,,,,
颈部火器性异物,,颈部 周围神经系统,外伤史患者,无传染性,非医保疾病,普外科 外伤科,普通透视检查 [详细],创伤 昏迷 脓肿 窒息 口咽异物 [详细],败血症 [详细],手术治疗 [详细],云南白药气雾剂 精氨酸布洛芬颗... [详细],3-6月,80%,,,,,,
眼眶脂肪肉瘤,"眼眶脂母细胞瘤,眼眶脂肉瘤",眼,成年人多见，偶见于青少年,无传染性,非医保疾病,眼科 肿瘤科,MRI 免疫病理检查 [详细],眼睑肿胀且呈淡绿色 眼球不能随意动 视力障碍 眼胀 [详细],角膜炎 眼球突出症 [详细],手术治疗 [详细],独一味胶囊 [详细],3-4个月,手术治愈率约40%,,,,,,
游走脾,,脾,中年以上经产妇产后发病率较高，有文献报道女性发病率可高于男性13 倍，儿童期也有发,无传染性,非医保疾病,外科 普外科,脾脏B超 [详细],恶心 腹部肿块 肚子疼 嗳气 鼻子黄色或棕色 [详细],脾功能亢进 急性腹膜炎 脾破裂 [详细],药物治疗 康复治疗 [详细],归脾颗粒 归脾胶囊 归脾膏 [详细],1-3个月,30%,,,,,,
短暂性棘皮松解皮肤病,"Grover病,丘疹性棘层松解",皮肤,40-60岁男性,无传染性,非医保疾病,皮肤科,皮肤病的物理检查 皮肤弹性 皮肤颜色 皮肤真菌镜检 皮肤斑贴实验 [详细],瘙痒 丘疹 皮肤水疱，后形成黑色干痂 结痂 妊娠纹 [详细],痒疹 [详细],药物治疗 [详细],维A酸乳膏 氧化锌软膏 [详细],1-3年,65%，多以对症治疗为主,市三甲医院约（3000-5000元）,,,,,
自律性房性心动过速,"特发性房性心动过速,自律性增强性房性心动过速,自主性房性心动过速",心脏,有心脏病的成年人,无传染性,非医保疾病,心血管内科,心电图 动态心电图 多普勒超声心动图 [详细],温醒现象 心动过速 胸闷 心悸 头晕 [详细],休克 [详细],药物治疗 [详细],盐酸胺碘酮片 盐酸胺碘酮片 盐酸胺碘酮胶囊 [详细],6-12周,70-80%,市三甲医院约（1000-5000元）,,,,,
经膈肌肋间疝,肋间胸膜腹膜疝,膈肌,男性,无传染性,非医保疾病,心胸外科,小气脑CT扫描 上消化道X线钡餐 [详细],肠鸣 膈麻痹 脐腹部或胁肋部患有癖块 膈膨升 胸口闪电疼痛 [详细],急性肠梗阻 小肠梗阻 [详细],手术治疗 [详细],应该如何用药？用什么药？ [详细],10-30天,70%,,,,,,
妊娠合并淋巴瘤,妊娠合并淋巴腺瘤,淋巴 子宫,孕妇,无传染性,非医保疾病,心血管内科 血液科,血清γ-谷氨酰转肽酶） 血沉 血液生化六项 血清β2微球蛋白 血小板计数 [详细],腹股沟淋巴结肿大 乏力 水肿 瘙痒 结节 [详细],贫血 肠梗阻 黄疸 肝硬化 尿毒症 [详细],药物治疗、手术治疗 [详细],注射用重组人干... 注射用重组人干... [详细],1-6个月,10%,,,,,,
尼曼－匹克氏病,鞘磷脂沉积病,骨髓 全身,先天婴幼儿,无传染性,非医保疾病,神经内科 儿科,尿常规 骨髓象分析 WBC 血小板计数 血清总脂 [详细],核上性垂直性眼肌瘫痪 肝脾肿大 SM累积量升高 肌张力减低 细胞酶活性异常 [详细],耳聋 营养不良 [详细],药物治疗、中药治疗、手术治疗 [详细],盐酸硫必利片 维生素C片 维生素E软胶囊 [详细],1--6个月,10%,,,,,,
热带口炎性腹泻,,肠,热带居民，在南美、非洲、印度等东南亚各国居民 ，任何年龄均可罹病,无传染性,非医保疾病,消化内科 内科,血清维生素A 葡萄糖耐量试验 痢疾杆菌检测 腹部平片 便常规 [详细],乏力 衰弱 口唇皲裂 肚子疼 脂肪泻 [详细],贫血 [详细],饮食、药物治疗 [详细],加味藿香正气丸 附子理中丸 口炎清片 [详细],1周,90%,,,,,,
腹裂,腹裂畸形,腹部,低体重儿,无传染性,非医保疾病,普外科 儿科,血液生化六项 [详细],腹腔感染 脐周腹壁缺损 肠蠕动减少 血肿形成 肠壁水肿增厚 [详细],肠梗阻 [详细],中医药物治疗、西医药物治疗、手术治疗 [详细],应该如何用药？用什么药？ [详细],10天,10%,,,,,,
颈椎后脱位,,颈部 脊柱,颈部外伤者,无传染性,非医保疾病,骨科,颈椎CT 颈部MRI MRI [详细],颈部酸痛 颈肩痛 颈椎椎节已有明显退行性变 皮下血肿 头颈部活动受限 [详细],瘫痪 [详细],牵引治疗，手术治疗、药物治疗 [详细],汉桃叶片 盐酸曲马多胶囊 醋氯芬酸片 [详细],1-3个月,30%,,,,,,
腹腔干动脉瘤,,腹部 血液血管,多发生于中年以上，目前男女发生比率趋于相等,无传染性,非医保疾病,心胸外科 血管外科,脉搏 腹部CT 腹部叩诊音 [详细],恶心 胃肠道出血 肚子疼 动作样壁 腹腔积血 [详细],休克 [详细],手术治疗 [详细],应该如何用药？用什么药？ [详细],4周,70%,,,,,,
慢性反流性肾病,"慢性返流性肾病,慢性返流性肾病变,慢性逆流性肾病,慢性萎缩性肾盂肾炎",肾 膀胱,儿童,无传染性,非医保疾病,肾内科,血浆组织纤溶酶原活化物抗原 尿常规 血液生化六项 肾脏切片 肾脏B超 [详细],肚子疼 氮质血症 多尿 蛋白尿 血压高 [详细],高血压 尿毒症 [详细],手术治疗 [详细],热淋清片 头孢克肟片 肾复康胶囊 [详细],10-30天,30%,市三甲医院约（4000-6000元）,,,,,
老年人肺脓肿,老年肺脓肿,鼻 口,多发生于壮年，男多于女,无传染性,非医保疾病,老年科 心胸外科,肺量计 痰液细菌培养 痰液细菌涂片 胸部平片 白细胞数 [详细],高热 乏力 脓痰 黏液脓性痰 食欲不振 [详细],脓胸 [详细],药物治疗 [详细],阿莫西林克拉维... 氧氟沙星胶囊 阿莫西林克拉维... [详细],7-14天,40%,市三甲医院约（3000 —— 8000元）,,,,,
老年性昏迷,,颅脑,老年人,无传染性,非医保疾病,急诊科,尿常规 脑脊液检查-化学检查-蛋白质检查 心电图 便常规 [详细],缄默症 浅昏迷 深昏迷 觉醒状态丧失 对光反应消失 [详细],,药物治疗 [详细],顺气安神丸 乙酰谷酰胺氯化... 乙酰谷酰胺氯化... [详细],2-4周,50%,,,,,,
不动杆菌肺炎,,肺,长期住院或机体抵抗力降低患者,无传染性,非医保疾病,呼吸内科,痰液细菌培养 白细胞分类计数 胸透 中性粒细胞计数 肝功能 [详细],寒战 高热 咳嗽 咳出黄色痰液 脓痰 [详细],暂无相关资料,药物治疗 [详细],氧氟沙星胶囊 头孢氨苄甲氧苄... 盐酸左氧氟沙星... [详细],3-6周,95%,市三甲医院约（3000 —— 5000元）,,,,,
妊娠合并急性胆囊炎,,胆 女性生殖,妊娠晚期和产褥期多见,无传染性,非医保疾病,产科 肝胆外科,天门冬氨酸 血清总胆红素 血清谷草转氨酶 胆囊B超 [详细],懒胆囊 恶心 囊肿 突发性右上腹绞痛 寒战 [详细],腹膜炎 胆石性肠梗阻 急性化脓性胆管炎 急性胰腺炎 [详细],饮食、对症、手术治疗 [详细],甲磺酸左氧氟沙... 舒肝益脾胶囊 吲哚美辛 [详细],10天,80%,,,,,,
农民肺,"收割工人尘肺,脱粒工尘肺,脱粒工肺",肺,从事农业生产者,无传染性,医保疾病,呼吸内科,激发试验 肺功能 胸透 纤维支气管镜 痰液细菌培养 [详细],高热 怕冷 食欲不振 恶心 头痛 [详细],,脱离接触抗原、药物治疗 [详细],应该如何用药？用什么药？ [详细],3-6个月,60-70%,,,,,,
小儿分离性焦虑症,小儿分离焦虑,心理,婴幼儿,无传染性,非医保疾病,心理咨询 儿科,,焦虑 恶心 肚子疼 腹痛伴恶心、呕吐 小儿哭闹不安 [详细],营养不良 [详细],行为治疗、药物治疗 [详细],应该如何用药？用什么药？ [详细],3-6月,80%,,,,,,
鼻疽假单胞菌肺炎,,肺,所有人群,无传染性,非医保疾病,呼吸内科,鼻疽菌素皮内试验 痰液细菌培养 补体结合试验 胸部平片 [详细],高热寒战 咳嗽 胸痛 呼吸急促 脓肿 [详细],暂无相关资料,药物治疗 [详细],克拉霉素片 头孢氨苄甲氧苄... 盐酸环丙沙星片 [详细],3个月,40%,市三甲医院约（2000 —— 5000元）,,,,,
跗骨与周围关节结核,,足部 下肢骨,15岁左右儿童和青壮年,有传染性,非医保疾病,骨科 针灸科,骨关节及软组织CT 四肢的骨和关节平片 骨与关节MRI 浆膜腔积液一般性状 [详细],低烧 消瘦 步态异常 脓肿 发烧 [详细],神经性肌强直 骨肿瘤 [详细],药物治疗、手术治疗 [详细],异烟肼片 利福喷丁胶囊 结核丸 [详细],治疗周期270天,治愈率81.5%,市三甲医院约（10000-50000元）;,,,,,
息积,,胸部,成年女性,无传染性,非医保疾病,中医科,,肋痛 胸闷 呼吸困难 侧肋骨痛 [详细],脑囊虫病 垂体性侏儒症 胸骨骨折 肺气肿 脑血管瘤 [详细],中医药物治疗、西医药物治疗 [详细],应该如何用药？用什么药？ [详细],2-4周,85%,,,,,,
神经鞘源性肿瘤,,纵膈,青年人,无传染性,非医保疾病,心胸外科 肿瘤科,胸部平片 胸部CT MRI [详细],臂丛神经受累 肺部感染 胸闷 脊髓压迫 气管移位 [详细],多重肺部感染 [详细],手术治疗、药物治疗 [详细],注射用磷酸氟达... 注射用磷酸氟达... 磷酸氟达拉滨 [详细],5~15天,83%~91%,,,,,,
激素抵抗型哮喘,类固醇抵抗型哮喘,肺 气管,年龄较大者,无传染性,非医保疾病,呼吸内科 急诊科,嗜酸性粒细胞数 [详细],气道高反应性 喘息 呼吸异常 气息异常 支气管痉挛 [详细],暂无相关资料,药物治疗 [详细],硫酸沙丁胺醇片 丙酸倍氯米松气... 布地奈德气雾剂 [详细],需要终身治疗,0.00%,市三甲医院约（2000-4000元）,,,,,
贲门黏膜撕裂综合征,"贲门黏膜撕裂综合症,马-韦综合症,食管贲门黏膜撕裂,胃食管撕裂出血",食管 胃,所有人群,无传染性,非医保疾病,胃肠外科,上消化道X线钡餐 气钡双对比造影 [详细],动脉出血 恶心 肚子疼 静脉曲张 呕血 [详细],新生儿呕血和便血 [详细],药物治疗、手术治疗 [详细],双极电止血导管 [详细],,60%,,,,,,
咽部狼疮,,咽喉,所有人群,有传染性,非医保疾病,耳鼻喉科,吞咽试验法 耳鼻咽喉CT 纤维鼻咽镜 狼疮性抗凝因子 [详细],咽痛 咽部灼热疼痛 咽部充血 咽部溃疡 咽部苹果酱样结节 [详细],,药物治疗 [详细],利福平胶囊 异烟肼片 [详细],1-3个月,40%,不同医院收费标准不一致，市三甲医院约（5000 —— 10000元）;,,,,,
Theodore上方角膜缘角结膜炎,,眼,成年人,无传染性,非医保疾病,眼科,结膜的检查 [详细],眼内有异物感 红眼 畏光 视力障碍 结膜充血 [详细],干燥性角结膜炎 [详细],暂无相关资料,乳酸左氧氟沙星... 乳酸左氧氟沙星... 氧氟沙星滴眼液 [详细],,暂无相关资料,暂无相关资料,,,,,
地霉菌病,"地霉病,地丝菌病",肺 肠,严重免疫缺陷的患者,有传染性,非医保疾病,皮肤科 传染科,痰液显微镜检查 胸部平片 真菌感染的实验室检查 真菌培养 真菌检查 真菌的分离与鉴定 真菌组织病理学 [详细],腭部有黑色焦痂 念珠菌感染 鳞屑 肉芽肿 胃疼 [详细],地霉菌病 [详细],药物治疗 [详细],诺氟沙星胶囊 氯霉素胶囊 [详细],1个月,60%,市三甲医院约(2000-10000元;,,,,,
原发性小血管炎性肾损害,,肾 血液血管,中老年人,无传染性,非医保疾病,肾内科,血清抗中性粒细胞抗体 尿常规 血沉 尿隐血 尿葡萄糖 [详细],肌肉酸痛 肚子疼 低烧 关节疼痛 蛋白尿 [详细],结膜炎 咯血 虹膜睫状体炎 脉络膜炎 [详细],药物治疗 康复治疗 [详细],复方石韦胶囊 复方石韦胶囊 正清风痛宁缓释... [详细],10-30天,40%,,,,,,
汗孔周围炎及多发性汗腺脓肿,"痱毒,痱疖,假性疖肿,时毒暑疖",皮肤,所有人群,无传染性,非医保疾病,皮肤科,皮损 免疫病理检查 细胞组织化学染色 [详细],结节 结痂 脓肿 脓疱 丘疹 [详细],淋巴结炎 [详细],药物治疗 [详细],龙珠软膏 六神胶囊 痱子粉 [详细],1-2个月,70-85%,,,,,,
桡管综合征,桡管综合症,前臂 周围神经系统,以40～60岁较多见，男女比例相似,无传染性,非医保疾病,骨科 针灸科,肱桡肌肌力试验 [详细],钝痛 肌肉萎缩 肌张力减低 肌性肌无力 感觉障碍 [详细],骨关节炎 [详细],手术治疗、理疗 [详细],复方水杨酸甲酯... 三七伤药片 复方小活络丸 [详细],1-3个月,80%,,,,,,
外阴烧伤、烫伤和化学损伤,,外阴,所有人群,无传染性,非医保疾病,烧伤科 妇科,白带常规 药敏试验 阴道镜 [详细],皮肤坏死 水疱或大疱损害 充血 肚子疼 感觉过敏 [详细],菌血症 直肠脱垂 尿道狭窄 大便失禁 [详细],外科治疗、药物治疗 [详细],葡萄糖酸氯己定... 除疤膏 烧伤肤康液 [详细],3-6月,70%,,,,,,
